[epoch: 1, iter:     1] loss: 0.04294
, loss_inr: 0.00000[epoch: 3, iter:   541] loss: 0.01888
, loss_inr: 0.00000[epoch: 3, iter:   551] loss: 0.01887
, loss_inr: 0.00000[epoch: 3, iter:   561] loss: 0.01886
, loss_inr: 0.00000[3] val PSNR: 30.370
[epoch: 4, iter:     1] loss: 0.00189
, loss_inr: 0.00000[epoch: 4, iter:    11] loss: 0.01879
, loss_inr: 0.00000[epoch: 4, iter:    21] loss: 0.01876
, loss_inr: 0.00000[epoch: 4, iter:    31] loss: 0.01880
, loss_inr: 0.00000[epoch: 4, iter:    41] loss: 0.01874
, loss_inr: 0.00000[epoch: 4, iter:    51] loss: 0.01873
, loss_inr: 0.00000[epoch: 4, iter:    61] loss: 0.01868
, loss_inr: 0.00000[epoch: 4, iter:    71] loss: 0.01869
, loss_inr: 0.00000[epoch: 4, iter:    81] loss: 0.01865
, loss_inr: 0.00000[epoch: 4, iter:    91] loss: 0.01868
, loss_inr: 0.00000[epoch: 4, iter:   101] loss: 0.01868
, loss_inr: 0.00000[epoch: 4, iter:   111] loss: 0.01862
, loss_inr: 0.00000[epoch: 4, iter:   121] loss: 0.01865
, loss_inr: 0.00000[epoch: 4, iter:   131] loss: 0.01864
, loss_inr: 0.00000[epoch: 4, iter:   141] loss: 0.01865
, loss_inr: 0.00000[epoch: 4, iter:   151] loss: 0.01855
, loss_inr: 0.00000[epoch: 4, iter:   161] loss: 0.01855
, loss_inr: 0.00000[epoch: 4, iter:   171] loss: 0.01856
, loss_inr: 0.00000[epoch: 4, iter:   181] loss: 0.01853
, loss_inr: 0.00000[epoch: 4, iter:   191] loss: 0.01854
, loss_inr: 0.00000[epoch: 4, iter:   201] loss: 0.01850
, loss_inr: 0.00000[epoch: 4, iter:   211] loss: 0.01850
, loss_inr: 0.00000[epoch: 4, iter:   221] loss: 0.01842
, loss_inr: 0.00000[epoch: 4, iter:   231] loss: 0.01848
, loss_inr: 0.00000[epoch: 4, iter:   241] loss: 0.01841
, loss_inr: 0.00000[epoch: 4, iter:   251] loss: 0.01841
, loss_inr: 0.00000[epoch: 4, iter:   261] loss: 0.01840
, loss_inr: 0.00000[epoch: 4, iter:   271] loss: 0.01834
, loss_inr: 0.00000[epoch: 4, iter:   281] loss: 0.01840
, loss_inr: 0.00000[epoch: 4, iter:   291] loss: 0.01836
, loss_inr: 0.00000[epoch: 4, iter:   301] loss: 0.01835
, loss_inr: 0.00000[epoch: 4, iter:   311] loss: 0.01832
, loss_inr: 0.00000[epoch: 4, iter:   321] loss: 0.01834
, loss_inr: 0.00000[epoch: 4, iter:   331] loss: 0.01837
, loss_inr: 0.00000[epoch: 4, iter:   341] loss: 0.01828
, loss_inr: 0.00000[epoch: 4, iter:   351] loss: 0.01825
, loss_inr: 0.00000[epoch: 4, iter:   361] loss: 0.01825
, loss_inr: 0.00000[epoch: 4, iter:   371] loss: 0.01824
, loss_inr: 0.00000[epoch: 4, iter:   381] loss: 0.01824
, loss_inr: 0.00000[epoch: 4, iter:   391] loss: 0.01822
, loss_inr: 0.00000[epoch: 4, iter:   401] loss: 0.01812
, loss_inr: 0.00000[epoch: 4, iter:   411] loss: 0.01817
, loss_inr: 0.00000[epoch: 4, iter:   421] loss: 0.01815
, loss_inr: 0.00000[epoch: 4, iter:   431] loss: 0.01817
, loss_inr: 0.00000[epoch: 4, iter:   441] loss: 0.01815
, loss_inr: 0.00000[epoch: 4, iter:   451] loss: 0.01809
, loss_inr: 0.00000[epoch: 4, iter:   461] loss: 0.01808
, loss_inr: 0.00000[epoch: 4, iter:   471] loss: 0.01808
, loss_inr: 0.00000[epoch: 4, iter:   481] loss: 0.01807
, loss_inr: 0.00000[epoch: 4, iter:   491] loss: 0.01809
, loss_inr: 0.00000[epoch: 4, iter:   501] loss: 0.01799
, loss_inr: 0.00000[epoch: 4, iter:   511] loss: 0.01803
, loss_inr: 0.00000[epoch: 4, iter:   521] loss: 0.01800
, loss_inr: 0.00000[epoch: 4, iter:   531] loss: 0.01796
, loss_inr: 0.00000[epoch: 4, iter:   541] loss: 0.01801
, loss_inr: 0.00000[epoch: 4, iter:   551] loss: 0.01796
, loss_inr: 0.00000[epoch: 4, iter:   561] loss: 0.01793
, loss_inr: 0.00000[4] val PSNR: 31.001
[epoch: 5, iter:     1] loss: 0.00178
, loss_inr: 0.00000[epoch: 5, iter:    11] loss: 0.01784
, loss_inr: 0.00000[epoch: 5, iter:    21] loss: 0.01783
, loss_inr: 0.00000[epoch: 5, iter:    31] loss: 0.01784
, loss_inr: 0.00000[epoch: 5, iter:    41] loss: 0.01778
, loss_inr: 0.00000[epoch: 5, iter:    51] loss: 0.01775
, loss_inr: 0.00000[epoch: 5, iter:    61] loss: 0.01771
, loss_inr: 0.00000[epoch: 5, iter:    71] loss: 0.01770
, loss_inr: 0.00000[epoch: 5, iter:    81] loss: 0.01769
, loss_inr: 0.00000[epoch: 5, iter:    91] loss: 0.01766
, loss_inr: 0.00000[epoch: 5, iter:   101] loss: 0.01772
, loss_inr: 0.00000[epoch: 5, iter:   111] loss: 0.01766
, loss_inr: 0.00000[epoch: 5, iter:   121] loss: 0.01763
, loss_inr: 0.00000[epoch: 5, iter:   131] loss: 0.01769
, loss_inr: 0.00000[epoch: 5, iter:   141] loss: 0.01769
, loss_inr: 0.00000[epoch: 5, iter:   151] loss: 0.01764
, loss_inr: 0.00000[epoch: 5, iter:   161] loss: 0.01762
, loss_inr: 0.00000[epoch: 5, iter:   171] loss: 0.01763
, loss_inr: 0.00000[epoch: 5, iter:   181] loss: 0.01761
, loss_inr: 0.00000[epoch: 5, iter:   191] loss: 0.01759
, loss_inr: 0.00000[epoch: 5, iter:   201] loss: 0.01758
, loss_inr: 0.00000[epoch: 5, iter:   211] loss: 0.01756
, loss_inr: 0.00000[epoch: 5, iter:   221] loss: 0.01760
, loss_inr: 0.00000[epoch: 5, iter:   231] loss: 0.01750
, loss_inr: 0.00000[epoch: 5, iter:   241] loss: 0.01752
, loss_inr: 0.00000[epoch: 5, iter:   251] loss: 0.01747
, loss_inr: 0.00000[epoch: 5, iter:   261] loss: 0.01754
, loss_inr: 0.00000[epoch: 5, iter:   271] loss: 0.01748
, loss_inr: 0.00000[epoch: 5, iter:   281] loss: 0.01750
, loss_inr: 0.00000[epoch: 5, iter:   291] loss: 0.01754
, loss_inr: 0.00000[epoch: 5, iter:   301] loss: 0.01747
, loss_inr: 0.00000[epoch: 5, iter:   311] loss: 0.01742
, loss_inr: 0.00000[epoch: 5, iter:   321] loss: 0.01743
, loss_inr: 0.00000[epoch: 5, iter:   331] loss: 0.01741
